genome	kingdom	phylum	class	order	family	genus	species
100053.SAMN02947772	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	specI_v3_00001
1000565.SAMN02471991	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	2008793 Sterolibacteriaceae	378210 Methyloversatilis	specI_v3_00371
1001240.SAMN02863076	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	69578 Cryobacterium	specI_v3_06490
1001585.SAMN02603190	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_00237
1001994.SAMN02470178	2157 Archaea	651137 Thaumarchaeota	NA Thaumarchaeota class incertae sedis	31932 Nitrosopumilales	338190 Nitrosopumilaceae	1007082 Nitrosoarchaeum	specI_v3_06491
100225.SAMN05421595	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85018 Dermatophilaceae	1184606 Austwickia	specI_v3_00591
100226.SAMEA1705940	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	specI_v3_00611
1002339.SAMN00259686	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	497 Psychrobacter	specI_v3_06492
1002340.SAMN02471702	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	191028 Leisingera	specI_v3_00702
1002368.SAMN02299454	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	158876 Yokenella	specI_v3_00081
1002526.SAMN05216578	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_06493
1002672.SAMN02603337	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	198251 Candidatus Pelagibacter	specI_v3_06494
1002804.SAMEA2272649	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	specI_v3_00722
1002805.SAMEA2272226	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	specI_v3_00723
1002809.SAMD00060988	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	648800 Solibacillus	specI_v3_00724
1003.SAMN04488541	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	NA Cytophagales fam. incertae sedis	1938003 Thermoflexibacter	specI_v3_06495
1003195.SAMN02603879	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	specI_v3_00754
1003202.SAMN02603530	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	775 Rickettsiaceae	780 Rickettsia	specI_v3_00755
1003238.SAMN02470555	2 Bacteria	204428 Chlamydiae	204429 Chlamydiia	51291 Chlamydiales	809 Chlamydiaceae	810 Chlamydia	specI_v3_00757
1004.SAMN05661012	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	79328 Chitinophaga	specI_v3_06496
1004149.SAMN02470158	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	444051 Mesoflavibacter	specI_v3_00759
1004156.SAMN04504644	2 Bacteria	203682 Planctomycetes	2517206 Candidatus Brocadiae	1127829 Candidatus Brocadiales	1127830 Candidatus Brocadiaceae	380240 Candidatus Brocadia	specI_v3_06497
1004316.SAMN04029016	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135623 Vibrionales	641 Vibrionaceae	662 Vibrio	specI_v3_06498
1004326.SAMN03339753	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135623 Vibrionales	641 Vibrionaceae	662 Vibrio	specI_v3_06499
1004836.SAMN02471213	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	89583 Gluconacetobacter	specI_v3_00794
1005048.SAMN02603677	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	202907 Collimonas	specI_v3_00413
1005057.SAMN02604330	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	32199 Buchnera	specI_v3_06500
1005058.SAMN02604222	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	155493 Gallibacterium	specI_v3_00798
1005090.SAMN02604329	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	32199 Buchnera	specI_v3_06501
1005928.SAMN04487859	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	74030 Roseovarius	specI_v3_00803
1005944.SAMN05192576	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	1839 Nocardioides	specI_v3_06502
1005945.SAMN05216561	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	1839 Nocardioides	specI_v3_06503
1005999.SAMN02440792	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903416 Budviciaceae	82980 Leminorella	specI_v3_00813
1006000.SAMN02743264	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	579 Kluyvera	specI_v3_00091
1006004.SAMN02742621	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	82976 Buttiauxella	specI_v3_00815
1006006.SAMN02603221	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	2281 Sulfolobales	118883 Sulfolobaceae	41980 Metallosphaera	specI_v3_06504
1006576.SAMEA3139667	2 Bacteria	200918 Thermotogae	188708 Thermotogae	1643947 Petrotogales	1643949 Petrotogaceae	1511648 Defluviitoga	specI_v3_00822
1006581.SAMN02641558	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	specI_v3_00825
1007096.SAMD00036625	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	216572 Oscillospiraceae	459786 Oscillibacter	specI_v3_06505
1007099.SAMN05216287	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_00225
1007103.SAMN02470015	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_00842
1007105.SAMN02603906	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	305976 Pusillimonas	specI_v3_06506
1007118.SAMN02441637	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	specI_v3_00847
1007119.SAMN02441647	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	specI_v3_00846
1007123.SAMN02440392	2 Bacteria	62680 Candidatus Marinimicrobia	NA Candidatus Marinimicrobia class incertae sedis	NA Candidatus Marinimicrobia order incertae sedis	NA Candidatus Marinimicrobia fam. incertae sedis	NA Candidatus Marinimicrobia gen. incertae sedis	specI_v3_00848
1007676.SAMN03734923	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	specI_v3_06507
1008305.SAMN04599355	2 Bacteria	200918 Thermotogae	188708 Thermotogae	2419 Thermotogales	1643950 Fervidobacteriaceae	2422 Fervidobacterium	specI_v3_06509
1008392.SAMN03609695	2 Bacteria	65842 Fibrobacteres	1860136 Chitinispirillia	1860137 Chitinispirillales	1860138 Chitinispirillaceae	1860139 Chitinispirillum	specI_v3_06510
1008457.SAMD00036610	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	76831 Myroides	specI_v3_06511
1008459.SAMN02602982	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	29574 Taylorella	specI_v3_00851
100901.SAMEA2272360	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	942 Anaplasmataceae	953 Wolbachia	specI_v3_00863
1009370.SAMN02469409	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843490 Sporomusaceae	2373 Acetonema	specI_v3_06512
1009412.SAMN02441636	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	specI_v3_06513
1009415.SAMN02441633	2 Bacteria	74201 Verrucomicrobia	NA Verrucomicrobia class incertae sedis	NA Verrucomicrobia order incertae sedis	NA Verrucomicrobia fam. incertae sedis	NA Verrucomicrobia gen. incertae sedis	specI_v3_06514
1009426.SAMN02441643	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	specI_v3_00864
1009708.SAMN02440508	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	specI_v3_06515
1009709.SAMN02441242	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	NA Alphaproteobacteria order incertae sedis	NA Alphaproteobacteria fam. incertae sedis	NA Alphaproteobacteria gen. incertae sedis	specI_v3_06516
1009711.SAMN02440511	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	specI_v3_06517
1009858.SAMN02641631	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	32199 Buchnera	specI_v3_00883
1010.SAMN05192578	2 Bacteria	976 Bacteroidetes	117747 Sphingobacteriia	200666 Sphingobacteriales	84566 Sphingobacteriaceae	28453 Sphingobacterium	specI_v3_06518
101571.SAMN03449265	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	specI_v3_00873
1017273.SAMN05443094	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1433999 Domibacillus	specI_v3_00890
102125.SAMN02261354	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	52604 Pleurocapsales	1890499 Xenococcaceae	52607 Xenococcus	specI_v3_06519
102127.SAMN02261249	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1150 Oscillatoriales	1892251 Coleofasciculaceae	63132 Geitlerinema	specI_v3_06520
102129.SAMN02256520	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	specI_v3_06521
102232.SAMN02261353	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1118 Chroococcales	1890464 Chroococcaceae	102231 Gloeocapsa	specI_v3_06522
102684.SAMN04348603	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	1300 Streptococcaceae	1301 Streptococcus	specI_v3_00902
1026882.SAMN02469574	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72273 Thiotrichales	135616 Piscirickettsiaceae	40222 Methylophaga	specI_v3_00903
1027249.SAMN05216179	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	74385 Gracilibacillus	specI_v3_00905
1027371.SAMD00041830	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85026 Gordoniaceae	2053 Gordonia	specI_v3_00913
1028.SAMN05661096	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	200667 Flammeovirgaceae	869806 Marivirga	specI_v3_06523
1028416.SAMEA3731239	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	497 Psychrobacter	specI_v3_06524
102891.SAMN03353435	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85013 Frankiales	74712 Frankiaceae	1854 Frankia	specI_v3_00941
1028989.SAMD00019511	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_06525
1029718.SAMD00060989	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	49082 Candidatus Arthromitus	specI_v3_00944
1029756.SAMN02641510	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	45401 Hyphomicrobiaceae	81 Hyphomicrobium	specI_v3_06526
1029823.SAMN02470194	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	469 Acinetobacter	specI_v3_00949
1030157.SAMN02470047	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	specI_v3_06527
1030533.SAMEA3373827	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	specI_v3_00982
1030841.SAMN02299456	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	482 Neisseria	specI_v3_00983
1031288.SAMN02440782	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	44258 Caloramator	specI_v3_00987
1031564.SAMN03248541	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_06528
1031742.SAMN03737969	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_00994
1031746.SAMN03737973	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_00995
1032069.SAMN03737995	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	specI_v3_00996
1032480.SAMD00061117	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	29404 Microlunatus	specI_v3_06529
1032488.SAMN02299457	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	482 Neisseria	specI_v3_06530
1033730.PRJEA82327	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	2040 Aeromicrobium	specI_v3_06531
1033731.SAMN05444145	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_01015
1033732.PRJEA82331	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171550 Rikenellaceae	239759 Alistipes	specI_v3_01017
1033733.PRJEA70539	2 Bacteria	1239 Firmicutes	1737404 Tissierellia	1737405 Tissierellales	1570339 Peptoniphilaceae	165779 Anaerococcus	specI_v3_01023
1033734.SAMEA2272358	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_06532
1033736.PRJEA82613	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85019 Brevibacteriaceae	1696 Brevibacterium	specI_v3_06533
1033737.SAMEA2272503	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_01024
1033738.PRJEA70549	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1649 Kurthia	specI_v3_01025
1033739.PRJEA70831	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1649 Kurthia	specI_v3_01027
1033740.SAMEA2272665	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1649 Kurthia	specI_v3_01028
1033741.SAMEA3246152	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	119045 Methylobacteriaceae	186650 Microvirga	specI_v3_06534
1033743.SAMEA2271960	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_06535
1033744.SAMEA2272315	2 Bacteria	1239 Firmicutes	1737404 Tissierellia	1737405 Tissierellales	1570339 Peptoniphilaceae	162289 Peptoniphilus	specI_v3_01030
1033802.SAMN02472183	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	742030 Salinisphaerales	742031 Salinisphaeraceae	180541 Salinisphaera	specI_v3_06536
1033806.SAMEA2271992	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	2235 Halobacteriales	1963268 Haloarculaceae	146825 Halorhabdus	specI_v3_01031
1033810.SAMN02472186	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	471822 Haloplasmatales	471823 Haloplasmataceae	471824 Haloplasma	specI_v3_06537
1033837.SAMN02603965	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	specI_v3_01032
1034345.SAMEA2272806	2 Bacteria	201174 Actinobacteria	84998 Coriobacteriia	84999 Coriobacteriales	84107 Coriobacteriaceae	1473205 Senegalimassilia	specI_v3_06538
1034346.PRJEA70545	2 Bacteria	1239 Firmicutes	526524 Erysipelotrichia	526525 Erysipelotrichales	128827 Erysipelotrichaceae	1472649 Dielma	specI_v3_01061
1034347.PRJEA68337	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_06539
1034769.SAMN02441697	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_06540
1034807.SAMEA3138411	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	specI_v3_06541
1034808.SAMN02469901	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	specI_v3_06542
1034943.SAMEA2610544	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	118969 Legionellales	444 Legionellaceae	445 Legionella	specI_v3_01064
1035.SAMEA3146256	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	1033 Afipia	specI_v3_01065
1035188.SAMN00621708	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	724 Haemophilus	specI_v3_01069
1035189.SAMN00621709	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	1300 Streptococcaceae	1301 Streptococcus	specI_v3_00308
1035193.SAMN02436687	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	1016 Capnocytophaga	specI_v3_01073
1035195.SAMN02436928	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1653 Corynebacteriaceae	1716 Corynebacterium	specI_v3_06543
1035197.SAMN02436797	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	1283313 Alloprevotella	specI_v3_01078
1035707.SAMN05216552	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	149698 Massilia	specI_v3_01097
1035839.SAMN02393707	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	724 Haemophilus	specI_v3_01100
1036181.SAMN05421756	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	53387 Friedmanniella	specI_v3_06544
103621.SAMN03197959	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	2037 Actinomycetales	2049 Actinomycetaceae	1654 Actinomyces	specI_v3_01102
1036672.SAMN01940915	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	290425 Advenella	specI_v3_01103
1036674.SAMN02469973	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135622 Alteromonadales	267893 Idiomarinaceae	135575 Idiomarina	specI_v3_06545
1036779.SAMN04515666	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	85413 Bosea	specI_v3_01108
1036780.SAMN05421844	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	85413 Bosea	specI_v3_01162
103690.SAMD00061094	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	specI_v3_01163
103733.SAMN02645315	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85010 Pseudonocardiales	2070 Pseudonocardiaceae	2071 Saccharothrix	specI_v3_01169
1037410.SAMN02469897	2 Bacteria	544448 Tenericutes	31969 Mollicutes	2085 Mycoplasmatales	2092 Mycoplasmataceae	2093 Mycoplasma	specI_v3_06546
1038014.SAMN04487910	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	290174 Aquimarina	specI_v3_06547
103817.SAMN04226596	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85021 Intrasporangiaceae	53457 Janibacter	specI_v3_01216
103855.SAMN03790813	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	506 Alcaligenaceae	517 Bordetella	specI_v3_00555
1038856.SAMN05366384	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1372 Planococcus	specI_v3_01220
1038858.SAMN02440776	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	335928 Xanthobacteraceae	6 Azorhizobium	specI_v3_01112
1038860.SAMN02441450	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	specI_v3_01229
1038867.SAMN02440715	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	specI_v3_01195
1038869.SAMN02440713	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1822464 Paraburkholderia	specI_v3_01233
104087.SAMN06102480	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_00164
1040986.SAMN02440597	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	69277 Phyllobacteriaceae	68287 Mesorhizobium	specI_v3_01252
1040987.SAMN02597203	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	69277 Phyllobacteriaceae	68287 Mesorhizobium	specI_v3_00780
1040989.SAMN02441123	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	specI_v3_06548
104099.SAMN03799295	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	434 Acetobacter	specI_v3_01257
104102.SAMN02849419	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	434 Acetobacter	specI_v3_01258
1041139.SAMN02256420	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	specI_v3_01259
1041146.SAMN02441564	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	specI_v3_01263
1041147.SAMN02441532	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	specI_v3_01264
1041159.SAMN02597201	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	106591 Ensifer	specI_v3_01269
1041504.SAMD00016607	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	49082 Candidatus Arthromitus	specI_v3_06549
1041522.SAMN06760893	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	specI_v3_01273
1041826.SAMN02603612	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	specI_v3_01281
1041930.SAMN02603117	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	570264 Methanocellales	570265 Methanocellaceae	570266 Methanocella	specI_v3_06550
1041938.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_01283
1041939.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_01285
1042156.SAMD00060994	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	specI_v3_06551
1042163.SAMN02469848	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	55080 Brevibacillus	specI_v3_01287
1042326.SAMN02597175	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	specI_v3_01292
1042376.SAMN02470154	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	1916646 Ochrovirga	specI_v3_06552
104268.SAMN05444344	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	104267 Tenacibaculum	specI_v3_01305
