genome	kingdom	phylum	class	order	family	genus	species
59919.SAMEA3138209	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_05991
59920.SAMN00623057	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_04617
59921.SAMN02769552	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_05212
59922.SAMN02603917	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_04585
59925.SAMN02769550	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_03247
59926.SAMN02769562	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_03239
59931.SAMN02436160	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	specI_v3_11613
600809.SAMN02604139	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	39782 Blattabacteriaceae	34098 Blattabacterium	specI_v3_01566
60137.SAMN04488041	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	60136 Sulfitobacter	specI_v3_04282
604088.SAMN04488060	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	335929 Erythrobacteraceae	1041 Erythrobacter	specI_v3_11614
604089.SAMN04487942	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	specI_v3_02567
604330.SAMN04489857	2 Bacteria	201174 Actinobacteria	84998 Coriobacteriia	84999 Coriobacteriales	1643824 Atopobiaceae	133925 Olsenella	specI_v3_06395
604331.SAMN02441497	2 Bacteria	1297 Deinococcus-Thermus	188787 Deinococci	68933 Thermales	188786 Thermaceae	65551 Meiothermus	specI_v3_11615
604354.SAMN02603090	2157 Archaea	28890 Euryarchaeota	183968 Thermococci	2258 Thermococcales	2259 Thermococcaceae	2263 Thermococcus	specI_v3_05122
60547.SAMEA2691382	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1827195 Caballeronia	specI_v3_06206
60549.SAMN05444168	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1822464 Paraburkholderia	specI_v3_02840
608506.SAMN00713559	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	543371 Thermoanaerobacterales Family III. Incertae Sedis	44000 Caldicellulosiruptor	specI_v3_02165
608534.SAMN00008845	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	265975 Oribacterium	specI_v3_04053
608538.SAMD00060961	2 Bacteria	200783 Aquificae	187857 Aquificae	32069 Aquificales	64898 Aquificaceae	939 Hydrogenobacter	specI_v3_06396
610130.SAMN00017134	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186803 Lachnospiraceae	1506553 Lachnoclostridium	specI_v3_01834
61015.SAMN05938307	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	90964 Staphylococcaceae	1279 Staphylococcus	specI_v3_06007
613199.SAMN02470472	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	specI_v3_01286
614.SAMN03481691	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903411 Yersiniaceae	613 Serratia	specI_v3_00833
61595.SAMN05421644	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135613 Chromatiales	1046 Chromatiaceae	85072 Allochromatium	specI_v3_11617
61635.SAMEA4532333	2 Bacteria	544448 Tenericutes	31969 Mollicutes	186329 Acholeplasmatales	2146 Acholeplasmataceae	2147 Acholeplasma	specI_v3_11618
61646.SAMN05000913	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	1330545 Lelliottia	specI_v3_00079
61647.SAMN03031196	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	1330546 Pluralibacter	specI_v3_00080
61648.SAMN03733692	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	579 Kluyvera	specI_v3_00062
61652.SAMN04481172	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903411 Yersiniaceae	613 Serratia	specI_v3_00836
616990.SAMN02797785	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	specI_v3_11619
616991.SAMN02744759	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	178469 Arenibacter	specI_v3_05962
617001.SAMN03351823	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213115 Desulfovibrionales	224380 Desulfonatronaceae	66848 Desulfonatronum	specI_v3_11620
617002.SAMN05660653	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213115 Desulfovibrionales	224380 Desulfonatronaceae	66848 Desulfonatronum	specI_v3_11621
619304.SAMN05421760	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	135620 Oceanospirillaceae	75687 Neptunomonas	specI_v3_06397
619693.SAMN00216890	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	838 Prevotella	specI_v3_02394
619805.SAMN05660477	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	944321 Soonwooa	specI_v3_11622
620914.SAMN02470972	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	290174 Aquimarina	specI_v3_11623
62101.SAMN03766367	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	1706369 Cellvibrionales	1706371 Cellvibrionaceae	62100 Candidatus Endobugula	specI_v3_11624
621456.SAMN05860869	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	specI_v3_01789
622637.SAMN02256392	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	31993 Methylocystaceae	133 Methylocystis	specI_v3_11625
623280.SAMN05660226	2 Bacteria	976 Bacteroidetes	117747 Sphingobacteriia	200666 Sphingobacteriales	84566 Sphingobacteriaceae	416949 Parapedobacter	specI_v3_11626
623281.SAMN05421747	2 Bacteria	976 Bacteroidetes	117747 Sphingobacteriia	200666 Sphingobacteriales	84566 Sphingobacteriaceae	416949 Parapedobacter	specI_v3_11627
624147.SAMN04487970	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	specI_v3_00843
626369.SAMN02595330	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	117563 Granulicatella	specI_v3_11628
626418.SAMN02603166	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	specI_v3_00520
626522.SAMN00008849	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171552 Prevotellaceae	1283313 Alloprevotella	specI_v3_11629
